,desc,plus_rev,minus_rev,comment_rev
0," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономный,Нет,Нет
1," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Надежность,,
2," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 G touring selection ",Отличный автомобиль,Передний привод. Лучше бы полный,
3," Prius, 2005 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный, не дорогие запчасти, маленький налог и страховка, места в салоне и багажнике хватает.","Очень низкий. Зимой долго прогревается салон, двс при температуре +60° глохнет из-за этого печка дует не достаточно горячим, в пути этой проблемы нет так-как двс работает практически  постоянно.","Замена ДВС на контракт, пробег 200т.к. причина масложор. Стойки на пробеге 180 и 280т.к. причина российские дороги. Ну и так по мелочи колодки, шаровые, линьки, втулки стабилизатора. Глобальных поломок небыло, продал на пробеге 281т.к."
4," Prius, 1998 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 ",Быстрая,Маленькая,Батарея
5," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Маленький расход,,
6," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичность,Шумоизоляция,
7," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",хорошая динамика.практично и надежно все ,рулевая река.,их нет если вовремя проходить то 
8," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход,,Очистка ДВС
9," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Низкий расход топлива,Внутренняя отделка,Ничего
10," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Toyota Prius (американец)
На машине отъездил три года, меня во всём устраивал, не разу не подвёл!
Супер экономичный автомобиль, заправлялся раз в месяц!
всем рекомендую!!!",,
11," Prius, 2002 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 G ","Управление,расход, комфорт",,
12," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичная,Нет,Не выявлено
13," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","надежность, экономичность.",нет,
14," Prius, 2001 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Эконом,Рейка,
15," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",,"Батарея, пластик",
16," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 G LED edition ",Современный,Батарея,Ничего
17," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичность,Дешёвый пластик салона,
18," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Мало ест бензина,Рулевая рейка умнрает очень быстро,
19," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Всё круто в этой машине, минусов я не нашёл. ","Слабое лкп, много сколов получается, маленький дорожный просвет для наших уродов-дорог. ","Только линьки поменял, больше не ломается ничего, за бареей смотреть на до. "
20," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S ","Экономичность, надежность",Отсутствуют,Ничего не ремонтировалось
21," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 G LED edition ",Экономия топлива,Низкий,Нет
22," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичный,,
23," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Самая удачная модель из всех поколений - мягкая в то же время крепкая ходовая, удачное сочетание электродвигателя, батареи и планетарной коробки, салон на высоте, просторный багажник","- Двигатель можно было 1,8.
- Продавцы во Владивостоке вырезают катализатор",Не было
24," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Гибрид, хорошая управлеюяемость",Клиренс,Небыло
25," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Багажник и салон как одно целое: очень удобно при перевозки габаритных вещей.,"Низковат, но это компенсируется установкой проставок.",Ни одной поломки не было. Диагностика никаких скрытых дефектов или неисправностей не выявила.
26," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Достаточно мягкий. Расход топлива маленький для такого авто.,"Шумоизоляция, клиренс и зима...",
27," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ","Супер надежный, неприхотливый",,"За два года замена колодок, пыльников, кислородного датчика"
28," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Очень мало просит денег на себя,это не про бензин. Экономичен,полного бака хватило на 780 км по городу(бак 45 литров) Не малый салон,передний подлокотник вообще класс.Ликвидный в наше время из-за экономии бензина. Не нужны  ночные прогревы,просто заводите перед выходом и всё! В машине тепло, зашумлен полностью предыдущим владельцем.Хорошая аэродинамика.Много систем помощников,парктроники перед,зад,камера заднего вида вещь!","Низковат,антибукс не даёт буксовать (можно включить сервисный режим не надолго). Устаёт спина по трассе,нет поясничного упора. Нет наклона назад спинок заднего ряда","Передние ступицы обе,поставил контрактные всё ок. Менял одну катушку зажигания. Проточил передние тормозные диски. Замена пыльника шруса . Замена помпы инвертора. Заменил три элемента в высоковольтной батарее. Это за три года владения."
29," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 G LED edition ",Низкий расход топлива,"Низкий по подвеске, гремучий пластик","Замена элементов ввб,, а затем батареи целиком"
30," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичен и удобен,"Батарейка, замена которой стоит больших денег",
31," Prius, 2016 год, 1800 куб. см., Бензин, Автомат, Полный привод ","Маленький расход, комфортный, мягкая ходовка, много плюшек типа проекции, система слепых зон и т.п.",Низкий,
32," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 G ","Экономичность, надежность","Мало места, устаревший дизайн",Замена элементов ввб
33," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Расход,  ходовка, двигатель, удобный",Не нашёл,Нет
34," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Резвый, экономичный.",небольшой расход масла. на 1000км- 200-300мл,
35," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, вместительный",Небыло,Ходовка
